,attentive,while_doing_other,while_taking_notes,with_other_people,What's your preferred way of listening to On Being?
X307,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X308,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X309,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X310,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X311,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X312,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X313,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X314,NA,NA,I take notes while I listen to the show,I take notes while I listen to the show,I take notes while I listen to the show
X315,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X316,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X317,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X318,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X319,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X320,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X321,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X322,NA,NA,I take notes while I listen to the show,I take notes while I listen to the show,I take notes while I listen to the show
X323,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X324,NA,NA,I take notes while I listen to the show,I take notes while I listen to the show,I take notes while I listen to the show
X325,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X326,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X327,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X328,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X329,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X330,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X331,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X332,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X333,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X334,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X335,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X336,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X337,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X338,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X339,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X340,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X341,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X342,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X343,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X344,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X345,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X346,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X347,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X348,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X349,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X350,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X351,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X352,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X353,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X354,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X355,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X356,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X357,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X358,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X359,NA,NA,NA,NA,NA
X360,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X361,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X362,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X363,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X364,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X365,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X366,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X367,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X368,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X369,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X370,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X371,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X372,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X373,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X374,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X375,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X376,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X377,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X378,NA,NA,NA,NA,NA
X379,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X380,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X381,NA,NA,NA,NA,before going to sleep
X382,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X383,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X384,NA,NA,NA,NA,NA
X385,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X386,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X387,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X388,NA,NA,NA,NA,I actually like to read the transcript… I’m a therapist and start to get overwhelmed by spoken information and the transcripts are so wonderful. I also love to share quotes and this helps as well
X389,NA,NA,NA,NA,"I listen attentively, while I am at a coffee shop, while I am drawing or while I am walking in nature."
X390,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X391,NA,NA,NA,NA,NA
X392,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X393,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X394,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X395,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X396,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X397,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X398,NA,NA,NA,NA,I listen while I milk the sheep or make cheese
X399,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X400,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X401,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X402,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X403,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X404,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X405,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X406,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X407,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X408,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X409,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X410,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X411,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X412,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X413,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X414,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X415,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X416,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X417,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X418,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
X419,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X420,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X421,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X422,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)","I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
X423,"I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions","I attentively listen to the show, without distractions"
