,attentive,while_doing_other,while_taking_notes,with_other_people,other,What's your preferred way of listening to On Being?
366,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
367,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
368,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
369,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
370,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
371,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
372,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
373,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
374,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
375,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
376,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
377,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
378,NA,NA,NA,NA,NA,NA
379,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
380,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
381,NA,NA,NA,NA,before going to sleep,before going to sleep
382,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
383,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
384,NA,NA,NA,NA,NA,NA
385,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
386,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
387,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
388,NA,NA,NA,NA,I actually like to read the transcript… I’m a therapist and start to get overwhelmed by spoken information and the transcripts are so wonderful. I also love to share quotes and this helps as well,I actually like to read the transcript… I’m a therapist and start to get overwhelmed by spoken information and the transcripts are so wonderful. I also love to share quotes and this helps as well
389,NA,NA,NA,NA,"I listen attentively, while I am at a coffee shop, while I am drawing or while I am walking in nature.","I listen attentively, while I am at a coffee shop, while I am drawing or while I am walking in nature."
390,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
391,NA,NA,NA,NA,NA,NA
392,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
393,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
394,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
395,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
396,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
397,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
398,NA,NA,NA,NA,I listen while I milk the sheep or make cheese,I listen while I milk the sheep or make cheese
399,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
400,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
401,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
402,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
403,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
404,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
405,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
406,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
407,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
408,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
409,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
410,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
411,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
412,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
413,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
414,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
415,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
416,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
417,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
418,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
419,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
420,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
421,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
422,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
423,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
424,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
425,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
426,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
427,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
428,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
429,NA,NA,NA,NA,NA,NA
430,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
431,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
432,NA,NA,NA,NA,NA,NA
433,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
434,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
435,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
436,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
437,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
438,NA,NA,NA,NA,NA,NA
439,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
440,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
441,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
442,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
443,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
444,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
445,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
446,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
447,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
448,NA,NA,NA,NA,"I read the transcript, do not listen.","I read the transcript, do not listen."
449,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
450,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
451,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
452,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
453,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
454,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
455,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
456,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
457,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
458,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
459,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
460,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
461,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
462,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
463,NA,NA,NA,NA,I don’t usually listen to it,I don’t usually listen to it
464,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
465,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
466,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
467,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
468,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
469,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
470,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
471,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
472,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
473,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
474,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
475,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
476,NA,NA,NA,NA,NA,NA
477,NA,NA,NA,NA,NA,NA
478,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
479,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
480,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
481,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
482,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
483,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
484,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
485,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
486,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
487,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
488,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
489,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
490,NA,NA,NA,NA,While driving,While driving
491,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
492,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
493,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
494,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
495,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
496,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
497,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
498,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
499,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
500,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
501,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
502,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
503,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
504,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
505,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
506,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
507,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
508,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
509,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
510,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
511,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
512,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
513,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
514,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
515,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
516,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
517,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
518,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
519,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
520,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
521,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
522,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
523,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
524,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
525,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
526,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
527,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
528,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
529,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
530,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
531,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
532,NA,NA,NA,NA,NA,NA
533,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
534,NA,NA,NA,NA,NA,NA
535,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
536,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
537,NA,NA,NA,NA,"I listen and read the transcript, sometimes just read transcript or combo read and listen","I listen and read the transcript, sometimes just read transcript or combo read and listen"
538,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
539,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
540,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
541,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
542,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
543,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
544,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
545,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
546,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
547,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
548,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
549,NA,NA,I take notes while I listen to the show,NA,NA,I take notes while I listen to the show
550,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
551,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
552,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
553,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
554,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
555,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
556,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
557,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
558,NA,NA,NA,NA,Long walks,Long walks
559,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
560,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
